"REF_DATE","GEO","DGUID","Employment size","Variables of interest","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","8425","","","","0"
"2011","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","7766","","","","0"
"2012","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","10188","","","","0"
"2013","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","18991","","","","0"
"2014","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","20453","","","","0"
"2015","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22029","","","","0"
"2016","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22733","","","","0"
"2017","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22405","","","","0"
"2018","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","21190","","","","0"
"2019","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","22050","","","","0"
"2020","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","28000","","","","0"
"2021","Canada","2016A000011124","All employment sizes","Number of enterprises","Number","223","units","0","v1105269736","1.1.1","33446","","","","0"
"2010","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","1983","","","","0"
"2011","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","1650","","","","0"
"2012","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","2071","","","","0"
"2013","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","3977","","","","0"
"2014","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4446","","","","0"
"2015","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4687","","","","0"
"2016","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4874","","","","0"
"2017","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4849","","","","0"
"2018","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4480","","","","0"
"2019","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","4656","","","","0"
"2020","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","6570","","","","0"
"2021","Canada","2016A000011124","0 to 4 employees","Number of enterprises","Number","223","units","0","v1105269740","1.2.1","7481","","","","0"
