"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Environmental benefits from product or process innovations that were new to one of the business's markets","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885153","1.1.1.1","59.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885154","1.1.1.2","56.1","B","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885160","1.1.1.8","63.0","B","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885163","1.1.1.11","60.3","B","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885217","1.2.1.1","49.6","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885218","1.2.1.2","47.3","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885224","1.2.1.8","64.1","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885227","1.2.1.11","59.3","E","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885281","1.3.1.1","57.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885282","1.3.1.2","46.7","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579885288","1.3.1.8","58.5","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","New to the market innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579885291","1.3.1.11","65.2","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with any environmental benefits ","Percent","239","units","0","v1579885537","1.7.1.1","66.5","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","New to the market innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579885538","1.7.1.2","56.1","E","","","1"
