"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Innovation activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668764","1.1.1.1","23.5","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668764","1.1.1.1","20.6","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Research and experimental development (R&D), both in-house and outsourced (contracted out or granted), to other organizations","Percent","239","units","0","v1047668764","1.1.1.1","20.9","B","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995283","1.1.1.10","18.6","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Engineering, design and other creative work","Percent","239","units","0","v1277995283","1.1.1.10","17.2","B","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995284","1.1.1.11","9.0","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Intellectual property activities to realize innovation projects","Percent","239","units","0","v1277995284","1.1.1.11","11.9","B","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995285","1.1.1.12","19.9","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Software development and database activities","Percent","239","units","0","v1277995285","1.1.1.12","24.7","B","","","1"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668765","1.1.1.2","32.7","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668765","1.1.1.2","21.1","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Acquisition or development of advanced technology","Percent","239","units","0","v1047668765","1.1.1.2","19.1","B","","","1"
"2017","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668767","1.1.1.4","32.1","A","","","1"
"2019","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668767","1.1.1.4","26.8","A","","","1"
"2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Employee training specifically for innovation projects","Percent","239","units","0","v1047668767","1.1.1.4","22.6","B","","","1"
