Year	Industry	Status of innovation activity	Information	Innovation activity of enterprises by industry
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Number of enterprises (no.)	9839
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations (goods or services), share of enterprises (%)	34.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Goods innovations, share of enterprises (%)	21.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Service innovations, share of enterprises (%)	23.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Only goods innovations, no service innovations, share of enterprises (%)	10.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Only service innovations, no goods innovations, share of enterprises (%)	13.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Both goods and service innovations, share of enterprises (%)	10.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new to market, share of enterprises (%)	20.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new to enterprise, share of enterprises (%)	29.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new only to market, not to enterprise, share of enterprises (%)	4.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new only to enterprise, not to market, share of enterprises (%)	14.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new both to market and to enterprise, share of enterprises (%)	15.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed by enterprise, share of enterprises (%)	27.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed together with others, share of enterprises (%)	15.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Enterprise modified products developed by others, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed by others, share of enterprises (%)	2.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations, share of enterprises (%)	45.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; production or development methods, share of enterprises (%)	24.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	11.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; ICT or information processing, share of enterprises (%)	22.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; accounting or other administrative operations, share of enterprises (%)	17.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; business practices or external relations, share of enterprises (%)	11.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	20.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; marketing methods, share of enterprises (%)	17.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed by enterprise, share of enterprises (%)	32.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed together with others, share of enterprises (%)	21.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Enterprise modified processes developed by others, share of enterprises (%)	6.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed by others, share of enterprises (%)	5.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovations, share of enterprises (%)	53.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovation activities, share of enterprises (%)	26.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Ongoing innovation activities, share of enterprises (%)	23.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Abandoned innovation activities, share of enterprises (%)	12.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Completed innovation activitiess, share of enterprises (%)	10.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovation activity, share of enterprises (%)	61.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	In-house research and development (R&D), share of enterprises (%)	41.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Continuous in-house R&D, share of enterprises (%)	22.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Occasional in-house R&D, share of enterprises (%)	19.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Contract-out R&D, share of enterprises (%)	27.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	In-house or contracted-out R&D, share of enterprises (%)	44.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations (goods or services), number of enterprises (no.)	3405
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Goods innovations, number of enterprises (no.)	2063
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Service innovations, number of enterprises (no.)	2347
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Only goods innovations, no service innovations, number of enterprises (no.)	1058
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Only service innovations, no goods innovations, number of enterprises (no.)	1342
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Both goods and service innovations, number of enterprises (no.)	1005
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new to market, number of enterprises (no.)	1995
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new to enterprise, number of enterprises (no.)	2940
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new only to market, not to enterprise, number of enterprises (no.)	465
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new only to enterprise, not to market, number of enterprises (no.)	1410
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Products new both to market and to enterprise, number of enterprises (no.)	1530
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed by enterprise, number of enterprises (no.)	2651
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed together with others, number of enterprises (no.)	1494
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Enterprise modified products developed by others, number of enterprises (no.)	490
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Product innovations developed by others, number of enterprises (no.)	282
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations, number of enterprises (no.)	4502
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; production or development methods, number of enterprises (no.)	2416
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; logistics, delivery or distribution methods, number of enterprises (no.)	1130
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; ICT or information processing, number of enterprises (no.)	2252
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; accounting or other administrative operations, number of enterprises (no.)	1723
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; business practices or external relations, number of enterprises (no.)	1138
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; work responsibilities, decision making, human resources, number of enterprises (no.)	2047
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations; marketing methods, number of enterprises (no.)	1684
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed by enterprise, number of enterprises (no.)	3191
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed together with others, number of enterprises (no.)	2083
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Enterprise modified processes developed by others, number of enterprises (no.)	585
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Process innovations developed by others, number of enterprises (no.)	489
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovations, number of enterprises (no.)	5293
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovation activities, number of enterprises (no.)	2603
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Ongoing innovation activities, number of enterprises (no.)	2325
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Abandoned innovation activities, number of enterprises (no.)	1213
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Completed innovation activitiess, number of enterprises (no.)	982
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Innovation activity, number of enterprises (no.)	6053
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	In-house research and development (R&D), number of enterprises (no.)	4101
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Continuous in-house R&D, number of enterprises (no.)	2163
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Occasional in-house R&D, number of enterprises (no.)	1938
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Contract-out R&D, number of enterprises (no.)	2653
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	In-house or contracted-out R&D, number of enterprises (no.)	4385
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Number of enterprises (no.)	6053
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations (goods or services), share of enterprises (%)	56.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Goods innovations, share of enterprises (%)	34.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Service innovations, share of enterprises (%)	38.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Only goods innovations, no service innovations, share of enterprises (%)	17.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Only service innovations, no goods innovations, share of enterprises (%)	22.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Both goods and service innovations, share of enterprises (%)	16.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new to market, share of enterprises (%)	33.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new to enterprise, share of enterprises (%)	48.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new only to market, not to enterprise, share of enterprises (%)	7.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new only to enterprise, not to market, share of enterprises (%)	23.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Products new both to market and to enterprise, share of enterprises (%)	25.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed by enterprise, share of enterprises (%)	43.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed together with others, share of enterprises (%)	24.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Enterprise modified products developed by others, share of enterprises (%)	8.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations developed by others, share of enterprises (%)	4.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations, share of enterprises (%)	74.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; production or development methods, share of enterprises (%)	39.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; logistics, delivery or distribution methods, share of enterprises (%)	18.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; ICT or information processing, share of enterprises (%)	37.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; accounting or other administrative operations, share of enterprises (%)	28.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; business practices or external relations, share of enterprises (%)	18.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; work responsibilities, decision making, human resources, share of enterprises (%)	33.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations; marketing methods, share of enterprises (%)	27.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed by enterprise, share of enterprises (%)	52.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed together with others, share of enterprises (%)	34.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Enterprise modified processes developed by others, share of enterprises (%)	9.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Process innovations developed by others, share of enterprises (%)	8.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovations, share of enterprises (%)	87.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovation activities, share of enterprises (%)	43.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Ongoing innovation activities, share of enterprises (%)	38.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Abandoned innovation activities, share of enterprises (%)	20.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Completed innovation activitiess, share of enterprises (%)	16.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Innovation activity, share of enterprises (%)	100.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	In-house research and development (R&D), share of enterprises (%)	67.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Continuous in-house R&D, share of enterprises (%)	35.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Occasional in-house R&D, share of enterprises (%)	32.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Contract-out R&D, share of enterprises (%)	43.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	In-house or contracted-out R&D, share of enterprises (%)	72.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Enterprises with innovation activity	Product innovations (goods or services), number of enterprises (no.)	3405
