Year,Economy,Economy Label,Category,Category Label,Index,Index Footnote,Index Missing value
2008,004,"Afghanistan",FTRI00,"Overall index",0.1363,,
2008,004,"Afghanistan",FTRI01,"ICT",0.0941,,
2008,004,"Afghanistan",FTRI02,"Skills",0.1646,,
2008,004,"Afghanistan",FTRI03,"Research and Development",0,,
2008,004,"Afghanistan",FTRI04,"Industry activity",0.4625,,
2008,004,"Afghanistan",FTRI05,"Access to finance",0.4223,,
2008,008,"Albania",FTRI00,"Overall index",0.3245,,
2008,008,"Albania",FTRI01,"ICT",0.2067,,
2008,008,"Albania",FTRI02,"Skills",0.4288,,
2008,008,"Albania",FTRI03,"Research and Development",0.0342,,
2008,008,"Albania",FTRI04,"Industry activity",0.4718,,
2008,008,"Albania",FTRI05,"Access to finance",0.6995,,
2008,012,"Algeria",FTRI00,"Overall index",0.2788,,
2008,012,"Algeria",FTRI01,"ICT",0.1353,,
2008,012,"Algeria",FTRI02,"Skills",0.4631,,
2008,012,"Algeria",FTRI03,"Research and Development",0.1978,,
2008,012,"Algeria",FTRI04,"Industry activity",0.2735,,
2008,012,"Algeria",FTRI05,"Access to finance",0.5257,,
2008,024,"Angola",FTRI00,"Overall index",0.1543,,
2008,024,"Angola",FTRI01,"ICT",0.1946,,
2008,024,"Angola",FTRI02,"Skills",0.2244,,
2008,024,"Angola",FTRI03,"Research and Development",0,,
2008,024,"Angola",FTRI04,"Industry activity",0.2105,,
2008,024,"Angola",FTRI05,"Access to finance",0.6327,,
2008,032,"Argentina",FTRI00,"Overall index",0.5492,,
2008,032,"Argentina",FTRI01,"ICT",0.5657,,
2008,032,"Argentina",FTRI02,"Skills",0.716,,
2008,032,"Argentina",FTRI03,"Research and Development",0.2992,,
2008,032,"Argentina",FTRI04,"Industry activity",0.6186,,
2008,032,"Argentina",FTRI05,"Access to finance",0.527,,
2008,051,"Armenia",FTRI00,"Overall index",0.3278,,
2008,051,"Armenia",FTRI01,"ICT",0.1146,,
2008,051,"Armenia",FTRI02,"Skills",0.5484,,
2008,051,"Armenia",FTRI03,"Research and Development",0.0808,,
2008,051,"Armenia",FTRI04,"Industry activity",0.4796,,
2008,051,"Armenia",FTRI05,"Access to finance",0.6302,,
2008,036,"Australia",FTRI00,"Overall index",0.8306,,
2008,036,"Australia",FTRI01,"ICT",0.4562,,
2008,036,"Australia",FTRI02,"Skills",0.9792,,
2008,036,"Australia",FTRI03,"Research and Development",0.6487,,
2008,036,"Australia",FTRI04,"Industry activity",0.6377,,
2008,036,"Australia",FTRI05,"Access to finance",0.8848,,
2008,040,"Austria",FTRI00,"Overall index",0.807,,
2008,040,"Austria",FTRI01,"ICT",0.7663,,
2008,040,"Austria",FTRI02,"Skills",0.7534,,
2008,040,"Austria",FTRI03,"Research and Development",0.5638,,
2008,040,"Austria",FTRI04,"Industry activity",0.7503,,
2008,040,"Austria",FTRI05,"Access to finance",0.8427,,
2008,031,"Azerbaijan",FTRI00,"Overall index",0.3449,,
2008,031,"Azerbaijan",FTRI01,"ICT",0.1713,,
2008,031,"Azerbaijan",FTRI02,"Skills",0.4835,,
2008,031,"Azerbaijan",FTRI03,"Research and Development",0.1475,,
2008,031,"Azerbaijan",FTRI04,"Industry activity",0.3987,,
2008,031,"Azerbaijan",FTRI05,"Access to finance",0.6753,,
2008,044,"Bahamas",FTRI00,"Overall index",0.408,,
2008,044,"Bahamas",FTRI01,"ICT",0.3067,,
2008,044,"Bahamas",FTRI02,"Skills",0.559,,
2008,044,"Bahamas",FTRI03,"Research and Development",0.0933,,
2008,044,"Bahamas",FTRI04,"Industry activity",0.4119,,
2008,044,"Bahamas",FTRI05,"Access to finance",0.7683,,
2008,048,"Bahrain",FTRI00,"Overall index",0.4472,,
2008,048,"Bahrain",FTRI01,"ICT",0.3533,,
2008,048,"Bahrain",FTRI02,"Skills",0.4874,,
2008,048,"Bahrain",FTRI03,"Research and Development",0.0342,,
2008,048,"Bahrain",FTRI04,"Industry activity",0.6192,,
2008,048,"Bahrain",FTRI05,"Access to finance",0.7526,,
2008,050,"Bangladesh",FTRI00,"Overall index",0.2481,,
2008,050,"Bangladesh",FTRI01,"ICT",0.0952,,
2008,050,"Bangladesh",FTRI02,"Skills",0.1751,,
2008,050,"Bangladesh",FTRI03,"Research and Development",0.1502,,
2008,050,"Bangladesh",FTRI04,"Industry activity",0.4898,,
2008,050,"Bangladesh",FTRI05,"Access to finance",0.6712,,
2008,052,"Barbados",FTRI00,"Overall index",0.5543,,
2008,052,"Barbados",FTRI01,"ICT",0.5051,,
