"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Co-operation on innovation activities","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovation co-operation partners","Percent","239","units","0","v1038037076","1.1.1.1","14.0","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Parent, affiliated or subsidiary businesses, type of co-operation partner","Percent","239","units","0","v1038037077","1.1.1.2","38.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Suppliers of equipment, materials, components or software, type of co-operation partner","Percent","239","units","0","v1038037081","1.1.1.6","51.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Clients or customers from the private sector, type of co-operation partner","Percent","239","units","0","v1038037085","1.1.1.10","34.0","B","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Clients or customers from the public sector, type of co-operation partner","Percent","239","units","0","v1038037089","1.1.1.14","11.9","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Competitors or other businesses in the sector, type of co-operation partner","Percent","239","units","0","v1038037093","1.1.1.18","14.8","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Consultants and commercial laboratories, type of co-operation partner","Percent","239","units","0","v1038037097","1.1.1.22","16.7","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Universities, colleges or other higher education institutions, type of co-operation partner","Percent","239","units","0","v1038037101","1.1.1.26","17.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Government, public or private research institutes, type of co-operation partner","Percent","239","units","0","v1038037105","1.1.1.30","10.6","A","","","1"
"2020/2022","Canada","2016A000011124","Total, all surveyed industries","Total, all enterprise sizes","Non-profit organizations, type of co-operation partner","Percent","239","units","0","v1271931316","1.1.1.38","5.7","A","","","1"
