"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Enterprise size","Innovations with environmental benefits","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899121","1.1.1.1","46.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899122","1.1.1.2","39.9","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899128","1.1.1.8","20.6","A","","","1"
"2020/2022","Canada","2021A000011124","Total, all surveyed industries","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899131","1.1.1.11","29.1","A","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899185","1.2.1.1","54.7","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899186","1.2.1.2","50.2","E","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899192","1.2.1.8","28.0","B","","","1"
"2020/2022","Canada","2021A000011124","Agriculture, forestry, fishing and hunting [11]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899195","1.2.1.11","18.8","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899249","1.3.1.1","64.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899250","1.3.1.2","54.6","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899256","1.3.1.8","43.4","B","","","1"
"2020/2022","Canada","2021A000011124","Mining, quarrying, and oil and gas extraction [21]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899259","1.3.1.11","39.7","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899505","1.7.1.1","63.1","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899506","1.7.1.2","43.4","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899512","1.7.1.8","46.6","B","","","1"
"2020/2022","Canada","2021A000011124","Utilities [22]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899515","1.7.1.11","47.0","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899569","1.8.1.1","48.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899570","1.8.1.2","41.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899576","1.8.1.8","21.6","B","","","1"
"2020/2022","Canada","2021A000011124","Construction [23]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899579","1.8.1.11","30.5","B","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579899633","1.9.1.1","56.7","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579899634","1.9.1.2","49.6","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579899640","1.9.1.8","24.7","A","","","1"
"2020/2022","Canada","2021A000011124","Manufacturing [31-33]","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579899643","1.9.1.11","31.6","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579901873","1.44.1.1","42.5","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579901874","1.44.1.2","36.2","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits related to increased environmental protection activities","Percent","239","units","0","v1579901880","1.44.1.8","18.4","A","","","1"
"2020/2022","Canada","2021A000011124","Total, selected services industries","Total, all enterprise sizes","Innovations with environmental benefits related to the end user or consumer","Percent","239","units","0","v1579901883","1.44.1.11","28.3","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with any environmental benefits","Percent","239","units","0","v1579901937","1.45.1.1","49.0","A","","","1"
"2020/2022","Canada","2021A000011124","Wholesale trade [41]","Total, all enterprise sizes","Innovations with environmental benefits from production through efficient use of resources","Percent","239","units","0","v1579901938","1.45.1.2","41.3","A","","","1"
