Year	Industry	Status of innovation activity	Information	Competence required by the enterprise from not important (1) to highly important (5) and sufficiency of competence by industry
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Number of enterprises (no.)	9839
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 5, competence at the needed level, share of enterprises (%)	13.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 5, competence not at the needed level, share of enterprises (%)	4.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 4, competence at the needed level, share of enterprises (%)	15.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 4, competence not at the needed level, share of enterprises (%)	6.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 3, competence at the needed level, share of enterprises (%)	17.8
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 3, competence not at the needed level, share of enterprises (%)	6.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 2, competence at the needed level, share of enterprises (%)	7.7
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 2, competence not at the needed level, share of enterprises (%)	3.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 1, competence at the needed level, share of enterprises (%)	16.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	R&D and technology, importance 1, competence not at the needed level, share of enterprises (%)	8.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 5, competence at the needed level, share of enterprises (%)	9.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 5, competence not at the needed level, share of enterprises (%)	3.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 4, competence at the needed level, share of enterprises (%)	21.5
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 4, competence not at the needed level, share of enterprises (%)	7.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 3, competence at the needed level, share of enterprises (%)	22.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 3, competence not at the needed level, share of enterprises (%)	6.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 2, competence at the needed level, share of enterprises (%)	9.0
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 2, competence not at the needed level, share of enterprises (%)	4.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 1, competence at the needed level, share of enterprises (%)	11.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Business competence, importance 1, competence not at the needed level, share of enterprises (%)	4.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 5, competence at the needed level, share of enterprises (%)	15.6
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 5, competence not at the needed level, share of enterprises (%)	5.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 4, competence at the needed level, share of enterprises (%)	15.3
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 4, competence not at the needed level, share of enterprises (%)	10.4
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 3, competence at the needed level, share of enterprises (%)	16.1
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 3, competence not at the needed level, share of enterprises (%)	10.9
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 2, competence at the needed level, share of enterprises (%)	7.2
2022	All NACE B-C-D-E-G46-H-J-K-M71-M72-M73	Total number of enterprises	Digitalisation and data, importance 2, competence not at the needed level, share of enterprises (%)	5.4
